,state,city,city_state,n_killed,n_injured,population,killed_normalized,injured_normalized,kill_million,injured_million,total
27271,West Virginia,Reedy,"Reedy, West Virginia",1,0,161,0.00621118,0,6211.180124,0,6211.180124
28249,Wyoming,Meeteetse,"Meeteetse, Wyoming",0,2,323,0,0.00619195,0,6191.950464,6191.950464
25766,Virginia,Accomac,"Accomac, Virginia",0,3,485,0,0.006185567,0,6185.56701,6185.56701
1341,Arkansas,Altheimer,"Altheimer, Arkansas",2,3,811,0.002466091,0.003699137,2466.091245,3699.136868,6165.228113
24983,Texas,Rice,"Rice, Texas",5,1,974,0.00513347,0.001026694,5133.470226,1026.694045,6160.164271
1763,Arkansas,Rose Bud,"Rose Bud, Arkansas",2,1,488,0.004098361,0.00204918,4098.360656,2049.180328,6147.540984
9697,Kentucky,Combs,"Combs, Kentucky",0,1,164,0,0.006097561,0,6097.560976,6097.560976
308,Alabama,Lisman,"Lisman, Alabama",0,3,493,0,0.006085193,0,6085.192698,6085.192698
22581,South Carolina,Clio,"Clio, South Carolina",1,3,658,0.001519757,0.004559271,1519.756839,4559.270517,6079.027356
17728,North Carolina,Ruffin,"Ruffin, North Carolina",0,2,330,0,0.006060606,0,6060.606061,6060.606061
9746,Kentucky,Eubank,"Eubank, Kentucky",2,0,330,0.006060606,0,6060.606061,0,6060.606061
22596,South Carolina,Darlington,"Darlington, South Carolina",12,24,5940,0.002020202,0.004040404,2020.20202,4040.40404,6060.606061
20829,Pennsylvania,Chester,"Chester, Pennsylvania",62,144,34000,0.001823529,0.004235294,1823.529412,4235.294118,6058.823529
21226,Pennsylvania,Homestead,"Homestead, Pennsylvania",6,13,3149,0.001905367,0.004128295,1905.366783,4128.294697,6033.66148
27285,West Virginia,Salt Rock,"Salt Rock, West Virginia",0,1,166,0,0.006024096,0,6024.096386,6024.096386
14236,Missouri,Williamsville,"Williamsville, Missouri",1,1,332,0.003012048,0.003012048,3012.048193,3012.048193,6024.096386
22805,South Carolina,Ridgeland,"Ridgeland, South Carolina",16,14,5005,0.003196803,0.002797203,3196.803197,2797.202797,5994.005994
51,Alabama,Blountsville,"Blountsville, Alabama",5,5,1670,0.002994012,0.002994012,2994.011976,2994.011976,5988.023952
23677,Tennessee,Toone,"Toone, Tennessee",2,0,334,0.005988024,0,5988.023952,0,5988.023952
22724,South Carolina,Lynchburg,"Lynchburg, South Carolina",1,1,335,0.002985075,0.002985075,2985.074627,2985.074627,5970.149254
22687,South Carolina,Jonesville,"Jonesville, South Carolina",2,3,838,0.002386635,0.003579952,2386.634845,3579.952267,5966.587112
23203,South Dakota,Roslyn,"Roslyn, South Dakota",1,0,168,0.005952381,0,5952.380952,0,5952.380952
22594,South Carolina,Cross Hill,"Cross Hill, South Carolina",0,3,505,0,0.005940594,0,5940.594059,5940.594059
9134,Kansas,Garfield,"Garfield, Kansas",1,0,169,0.00591716,0,5917.159763,0,5917.159763
9259,Kansas,Lehigh,"Lehigh, Kansas",1,0,169,0.00591716,0,5917.159763,0,5917.159763
10031,Kentucky,Sharpsburg,"Sharpsburg, Kentucky",2,0,338,0.00591716,0,5917.159763,0,5917.159763
26043,Virginia,Keller,"Keller, Virginia",1,0,169,0.00591716,0,5917.159763,0,5917.159763
2066,California,Camptonville,"Camptonville, California",0,2,339,0,0.005899705,0,5899.705015,5899.705015
7367,Indiana,Cromwell,"Cromwell, Indiana",1,2,509,0.001964637,0.003929273,1964.636542,3929.273084,5893.909627
18225,North Dakota,Sanborn,"Sanborn, North Dakota",1,0,170,0.005882353,0,5882.352941,0,5882.352941
168,Alabama,Fairfield,"Fairfield, Alabama",29,33,10568,0.002744133,0.003122634,2744.133232,3122.634368,5866.7676
8163,Iowa,Dickens,"Dickens, Iowa",0,1,171,0,0.005847953,0,5847.953216,5847.953216
22749,South Carolina,Neeses,"Neeses, South Carolina",1,1,342,0.002923977,0.002923977,2923.976608,2923.976608,5847.953216
12245,Minnesota,Felton,"Felton, Minnesota",0,1,172,0,0.005813953,0,5813.953488,5813.953488
14376,Montana,Frazer,"Frazer, Montana",1,1,344,0.002906977,0.002906977,2906.976744,2906.976744,5813.953488
2519,California,Knights Landing,"Knights Landing, California",0,6,1036,0,0.005791506,0,5791.505792,5791.505792
26002,Virginia,Halifax,"Halifax, Virginia",1,6,1210,0.000826446,0.004958678,826.446281,4958.677686,5785.123967
22781,South Carolina,Pendleton,"Pendleton, South Carolina",9,10,3285,0.002739726,0.00304414,2739.726027,3044.14003,5783.866058
13559,Missouri,Foley,"Foley, Missouri",0,1,173,0,0.005780347,0,5780.346821,5780.346821
25651,Utah,Snowville,"Snowville, Utah",0,1,173,0,0.005780347,0,5780.346821,5780.346821
13075,Mississippi,Meridian,"Meridian, Mississippi",45,167,36686,0.001226626,0.004552145,1226.625961,4552.145233,5778.771193
26197,Virginia,Powhatan,"Powhatan, Virginia",2,0,348,0.005747126,0,5747.126437,0,5747.126437
22772,South Carolina,Pamplico,"Pamplico, South Carolina",2,5,1220,0.001639344,0.004098361,1639.344262,4098.360656,5737.704918
18139,North Dakota,Max,"Max, North Dakota",0,2,349,0,0.005730659,0,5730.659026,5730.659026
2879,California,Philo,"Philo, California",1,0,175,0.005714286,0,5714.285714,0,5714.285714
636,Alaska,Coffman Cove,"Coffman Cove, Alaska",0,1,176,0,0.005681818,0,5681.818182,5681.818182
9061,Kansas,Delia,"Delia, Kansas",0,1,176,0,0.005681818,0,5681.818182,5681.818182
23111,South Dakota,Letcher,"Letcher, South Dakota",0,1,176,0,0.005681818,0,5681.818182,5681.818182
20352,Oregon,Government Camp,"Government Camp, Oregon",1,0,176,0.005681818,0,5681.818182,0,5681.818182
6103,Illinois,Chesterfield,"Chesterfield, Illinois",1,0,177,0.005649718,0,5649.717514,0,5649.717514
26287,Virginia,Sussex,"Sussex, Virginia",0,2,356,0,0.005617978,0,5617.977528,5617.977528
20057,Oklahoma,Rose,"Rose, Oklahoma",1,1,356,0.002808989,0.002808989,2808.988764,2808.988764,5617.977528
618,Alaska,Cantwell,"Cantwell, Alaska",1,0,178,0.005617978,0,5617.977528,0,5617.977528
21668,Pennsylvania,Osceola Mills,"Osceola Mills, Pennsylvania",3,3,1069,0.002806361,0.002806361,2806.361085,2806.361085,5612.72217
9585,Kansas,Yoder,"Yoder, Kansas",0,1,179,0,0.005586592,0,5586.592179,5586.592179
